Country,Education,Experience,Salary
Australia,Master,2.0,96874.0
United Kingdom of Great Britain and Northern Ireland,Bachelor,14.0,77556.0
Switzerland,No College,22.0,121979.0
Russian Federation,Post Grad,9.0,75492.0
Russian Federation,Bachelor,26.0,43404.0
United Kingdom of Great Britain and Northern Ireland,Bachelor,7.0,103408.0
France,Master,5.0,44320.0
United States of America,Bachelor,22.0,165000.0
Germany,No College,5.0,51888.0
France,Master,9.0,64859.0
Germany,No College,3.0,42158.0
Germany,Bachelor,7.0,32424.0
United States of America,Bachelor,2.0,60000.0
France,Post Grad,12.0,35028.0
Germany,Post Grad,8.0,74588.0
United Kingdom of Great Britain and Northern Ireland,Bachelor,3.0,50153.0
India,Master,11.0,30716.0
France,Master,7.0,77831.0
Germany,Master,2.0,54049.0
France,Master,7.0,41077.0
United Kingdom of Great Britain and Northern Ireland,No College,2.0,19389.0
France,Master,15.0,77831.0
United States of America,Bachelor,13.0,160000.0
Israel,Bachelor,8.0,200409.0
United States of America,Bachelor,9.0,107972.0
United Kingdom of Great Britain and Northern Ireland,No College,6.0,48472.0
United States of America,Bachelor,16.0,120000.0
Spain,Post Grad,5.0,32429.0
Spain,Master,10.0,12972.0
Spain,Bachelor,4.0,28105.0
United Kingdom of Great Britain and Northern Ireland,Post Grad,4.0,51704.0
Germany,Bachelor,15.0,70264.0
United States of America,Master,13.0,115000.0
United States of America,Bachelor,12.0,144000.0
Germany,Master,21.0,70264.0
Canada,No College,34.0,181515.0
Sweden,Bachelor,26.0,81000.0
United States of America,No College,22.0,105000.0
Germany,Master,5.0,56211.0
United Kingdom of Great Britain and Northern Ireland,Master,7.0,64630.0
Turkey,Bachelor,3.0,35508.0
Germany,No College,11.0,64859.0
United States of America,Master,10.0,110000.0
United States of America,Bachelor,15.0,120000.0
Germany,No College,6.0,48644.0
Poland,Master,11.0,54672.0
Netherlands,No College,4.0,35676.0
Canada,Bachelor,4.0,75631.0
United States of America,No College,39.0,70000.0
Germany,Master,9.0,58373.0
United States of America,No College,4.0,58000.0
Germany,Bachelor,6.0,61616.0
France,Post Grad,13.0,59454.0
Sweden,Post Grad,3.0,55224.0
Canada,Master,6.0,68068.0
United States of America,Bachelor,4.0,74000.0
India,Bachelor,5.0,217800.0
Netherlands,Post Grad,14.0,118908.0
United States of America,No College,1.0,40000.0
Canada,Bachelor,8.0,71850.0
Canada,Bachelor,14.0,66934.0
United States of America,No College,7.0,63385.0
Switzerland,No College,1.0,54888.0
United States of America,Master,20.0,108000.0
Germany,No College,7.0,58373.0
Russian Federation,Master,20.0,56616.0
United Kingdom of Great Britain and Northern Ireland,Master,24.0,55582.0
United Kingdom of Great Britain and Northern Ireland,Bachelor,27.0,71093.0
United Kingdom of Great Britain and Northern Ireland,No College,21.0,60752.0
Poland,No College,20.0,30372.0
United States of America,Post Grad,6.0,90000.0
United States of America,Bachelor,3.0,67000.0
India,Bachelor,4.0,21676.0
Switzerland,Master,16.0,101649.0
United States of America,No College,16.0,195000.0
United Kingdom of Great Britain and Northern Ireland,Post Grad,23.0,155111.0
France,Bachelor,12.0,123228.0
Russian Federation,No College,1.0,28308.0
Italy,Bachelor,12.0,17508.0
France,Master,3.0,48644.0
Sweden,Bachelor,5.0,54769.0
Poland,Bachelor,5.0,45564.0
United States of America,Master,12.0,29000.0
United States of America,No College,6.0,170000.0
Turkey,Bachelor,3.0,19728.0
United States of America,Bachelor,4.0,70000.0
United States of America,No College,2.0,40000.0
Netherlands,Bachelor,4.0,40212.0
Canada,No College,7.0,90758.0
United Kingdom of Great Britain and Northern Ireland,Master,6.0,54224.0
Switzerland,Master,7.0,81319.0
United States of America,Bachelor,4.0,85000.0
Germany,Bachelor,1.0,64859.0
Netherlands,Master,30.0,62268.0
Canada,No College,5.0,31750.0
United States of America,Master,2.0,100000.0
United States of America,Bachelor,3.0,92000.0
Spain,Bachelor,4.0,34591.0
Switzerland,No College,10.0,92500.0
United States of America,Master,12.0,135000.0
United Kingdom of Great Britain and Northern Ireland,Bachelor,5.0,71093.0
United States of America,Bachelor,4.0,150000.0
United States of America,Bachelor,19.0,65000.0
Spain,Post Grad,20.0,64859.0
India,No College,10.0,16416.0
Italy,Bachelor,3.0,35672.0
Germany,Bachelor,3.0,59454.0
France,Master,9.0,45396.0
United States of America,Post Grad,35.0,110000.0
Turkey,Master,2.0,18080.0
Germany,Bachelor,3.0,31128.0
Brazil,Bachelor,12.0,96204.0
France,Master,6.0,88640.0
Spain,No College,2.0,20539.0
United States of America,Master,21.0,190000.0
United Kingdom of Great Britain and Northern Ireland,Post Grad,10.0,49765.0
France,Master,10.0,48644.0
United States of America,Bachelor,8.0,57765.0
United States of America,Bachelor,3.0,40000.0
United States of America,No College,2.0,37440.0
Canada,Bachelor,9.0,83194.0
Switzerland,Bachelor,13.0,111814.0
United States of America,Master,4.0,133000.0
Germany,No College,13.0,69183.0
Norway,Bachelor,6.0,64737.0
Italy,No College,8.0,47563.0
Netherlands,Bachelor,12.0,118908.0
France,Master,6.0,69183.0
India,Bachelor,8.0,29320.0
United States of America,Master,5.0,150000.0
France,Master,7.0,64859.0
Italy,Master,17.0,59454.0
France,Master,5.0,36753.0
United States of America,Bachelor,19.0,125000.0
United Kingdom of Great Britain and Northern Ireland,Bachelor,10.0,63854.0
India,No College,10.0,123984.0
Netherlands,Master,4.0,46482.0
Italy,Master,3.0,35672.0
Germany,Bachelor,7.0,86478.0
India,Bachelor,7.0,134028.0
United States of America,Bachelor,25.0,98000.0
Germany,No College,18.0,54049.0
United States of America,Bachelor,3.0,73500.0
Netherlands,Master,7.0,56211.0
Poland,Master,6.0,60744.0
France,Bachelor,25.0,183767.0
India,Bachelor,2.0,25128.0
Germany,No College,4.0,36324.0
United States of America,Bachelor,1.0,82000.0
United States of America,Post Grad,10.0,105000.0
United Kingdom of Great Britain and Northern Ireland,No College,2.0,28437.0
Poland,No College,3.0,41004.0
Germany,Bachelor,5.0,101612.0
United States of America,Bachelor,9.0,135000.0
India,Bachelor,7.0,31332.0
Netherlands,Bachelor,6.0,50806.0
France,No College,3.0,41077.0
France,Master,5.0,45401.0
United States of America,Bachelor,8.0,200000.0
India,Master,3.0,40489.0
United States of America,Master,10.0,58000.0
United Kingdom of Great Britain and Northern Ireland,Master,3.0,48472.0
United Kingdom of Great Britain and Northern Ireland,No College,0.5,19389.0
Germany,Bachelor,7.0,43239.0
Spain,No College,8.0,16215.0
Germany,Post Grad,7.0,51888.0
Spain,Bachelor,30.0,45396.0
Italy,Post Grad,6.0,33095.0
United States of America,Bachelor,2.0,70000.0
Netherlands,Master,9.0,57072.0
United States of America,Bachelor,20.0,130000.0
Brazil,Bachelor,4.0,22536.0
Germany,No College,14.0,56208.0
United States of America,Bachelor,33.0,175000.0
Israel,Bachelor,8.0,91056.0
Canada,No College,25.0,68068.0
United Kingdom of Great Britain and Northern Ireland,Master,4.0,49119.0
United States of America,No College,4.0,55702.0
Turkey,No College,2.0,11832.0
France,Master,5.0,39131.0
United States of America,Bachelor,4.0,72000.0
United States of America,No College,20.0,110000.0
Italy,No College,12.0,45401.0
United States of America,Bachelor,13.0,155000.0
Germany,No College,14.0,75885.0
United States of America,Master,7.0,125000.0
United States of America,Bachelor,35.0,70000.0
United States of America,No College,4.0,105000.0
Sweden,Master,24.0,68724.0
Brazil,Post Grad,4.0,10992.0
Sweden,Bachelor,3.0,40500.0
Germany,Master,10.0,77832.0
United States of America,No College,25.0,156000.0
Israel,Bachelor,20.0,155844.0
Canada,Bachelor,5.0,77900.0
Poland,Master,2.0,27844.0
Switzerland,Bachelor,15.0,126083.0
United Kingdom of Great Britain and Northern Ireland,No College,6.0,51704.0
France,Master,16.0,50806.0
Turkey,Bachelor,4.0,38400.0
United States of America,Bachelor,9.0,230000.0
Germany,Master,4.0,45401.0
United States of America,Bachelor,15.0,120000.0
United States of America,Bachelor,8.0,66500.0
United States of America,Bachelor,7.0,125000.0
France,Master,6.0,46482.0
India,Bachelor,10.0,29320.0
United Kingdom of Great Britain and Northern Ireland,Master,22.0,116333.0
France,Post Grad,3.0,54049.0
Germany,Post Grad,12.0,54049.0
Italy,No College,6.0,32429.0
Italy,Master,5.0,27240.0
United Kingdom of Great Britain and Northern Ireland,Post Grad,1.0,71093.0
Italy,Master,3.0,32429.0
United States of America,Bachelor,25.0,160000.0
Italy,No College,6.0,27025.0
Canada,Bachelor,1.0,49160.0
United States of America,Bachelor,3.0,64000.0
United Kingdom of Great Britain and Northern Ireland,Bachelor,8.0,50411.0
Germany,Master,4.0,54049.0
United States of America,Post Grad,7.0,135000.0
Poland,Bachelor,14.0,105300.0
France,Master,4.0,46482.0
Brazil,Bachelor,4.0,17868.0
United Kingdom of Great Britain and Northern Ireland,Master,2.0,74970.0
Canada,Bachelor,3.0,52942.0
United States of America,Bachelor,3.0,85000.0
India,Bachelor,1.0,20943.0
United States of America,Bachelor,15.0,120000.0
Brazil,No College,15.0,41232.0
United States of America,Master,11.0,155000.0
Sweden,Master,6.0,53388.0
Germany,Bachelor,2.0,54049.0
Netherlands,Post Grad,24.0,57720.0
Germany,No College,7.0,54480.0
France,Master,6.0,34584.0
Russian Federation,Master,15.0,36804.0
Germany,Bachelor,11.0,51887.0
India,Master,2.0,10728.0
Italy,No College,21.0,81074.0
United States of America,Bachelor,5.0,115000.0
Canada,Bachelor,5.0,55211.0
United States of America,Bachelor,10.0,200000.0
United States of America,Bachelor,10.0,142000.0
United States of America,No College,8.0,125000.0
United Kingdom of Great Britain and Northern Ireland,Master,3.0,84019.0
Germany,Master,5.0,31128.0
Germany,Master,0.5,51888.0
India,Bachelor,5.0,16475.0
Germany,Bachelor,2.0,41040.0
United States of America,Master,12.0,175000.0
India,Master,7.0,18848.0
Germany,Master,6.0,84312.0
Germany,Master,7.0,81074.0
Germany,Master,10.0,68102.0
United States of America,Bachelor,12.0,126000.0
Turkey,No College,10.0,28320.0
Netherlands,Bachelor,2.0,35676.0
India,Bachelor,7.0,21641.0
United States of America,No College,18.0,175000.0
Israel,Master,10.0,175112.0
United States of America,Bachelor,9.0,190000.0
France,Master,3.0,81074.0
Netherlands,Bachelor,4.0,38916.0
United States of America,Bachelor,37.0,220000.0
France,Master,2.0,45401.0
India,Master,6.0,12564.0
Russian Federation,Master,8.0,45300.0
United States of America,Master,30.0,153000.0
United Kingdom of Great Britain and Northern Ireland,Master,4.0,51704.0
United States of America,No College,4.0,75000.0
India,Bachelor,2.0,11169.0
India,Bachelor,4.0,30716.0
Germany,Bachelor,25.0,81074.0
United States of America,No College,20.0,215000.0
India,Post Grad,10.0,13962.0
France,Master,4.0,48644.0
Netherlands,Master,3.0,51888.0
India,Master,6.0,64224.0
Germany,Bachelor,12.0,56211.0
Canada,Master,15.0,75631.0
Italy,No College,6.0,55130.0
France,Master,3.0,37834.0
Canada,Bachelor,10.0,68068.0
United States of America,No College,10.0,200000.0
Netherlands,Bachelor,7.0,36972.0
United States of America,Bachelor,15.0,203000.0
Norway,No College,20.0,61608.0
Russian Federation,Bachelor,5.0,41000.0
Germany,No College,20.0,79993.0
United States of America,Bachelor,5.0,100000.0
United States of America,Bachelor,5.0,80325.0
Spain,No College,20.0,58373.0
Germany,Bachelor,13.0,18984.0
Germany,Bachelor,23.0,64859.0
United States of America,Bachelor,3.0,82750.0
Netherlands,No College,1.0,23352.0
United Kingdom of Great Britain and Northern Ireland,No College,5.0,71093.0
Germany,Master,7.0,88208.0
United Kingdom of Great Britain and Northern Ireland,Master,6.0,46533.0
Netherlands,Bachelor,11.0,59544.0
United Kingdom of Great Britain and Northern Ireland,No College,3.0,33600.0
France,Master,7.0,39456.0
Israel,Master,8.0,175116.0
Poland,No College,13.0,33408.0
United States of America,Bachelor,8.0,110000.0
United States of America,Master,5.0,200000.0
United States of America,No College,4.0,144000.0
France,Post Grad,0.5,24000.0
Germany,Master,7.0,91883.0
United States of America,No College,43.0,83000.0
United States of America,Bachelor,3.0,75636.0
Russian Federation,Bachelor,5.0,16980.0
United States of America,Bachelor,1.0,100000.0
Russian Federation,No College,30.0,37752.0
United Kingdom of Great Britain and Northern Ireland,Post Grad,15.0,103408.0
India,Bachelor,5.0,13962.0
Poland,Bachelor,4.0,55200.0
United States of America,Bachelor,40.0,200000.0
France,Post Grad,29.0,83236.0
United Kingdom of Great Britain and Northern Ireland,Bachelor,9.0,87896.0
United States of America,Bachelor,6.0,80000.0
Italy,Bachelor,15.0,38916.0
Germany,Master,15.0,175119.0
United Kingdom of Great Britain and Northern Ireland,Master,30.0,193889.0
United States of America,Master,4.0,166000.0
France,Master,13.0,64859.0
United States of America,Bachelor,13.0,220000.0
United Kingdom of Great Britain and Northern Ireland,No College,20.0,89189.0
Germany,Bachelor,5.0,51887.0
Canada,Bachelor,16.0,52942.0
United States of America,Bachelor,21.0,90000.0
United Kingdom of Great Britain and Northern Ireland,Bachelor,12.0,82726.0
Switzerland,No College,6.0,80008.0
United States of America,Bachelor,1.0,65000.0
Italy,Post Grad,38.0,51888.0
United States of America,Master,7.0,160000.0
France,No College,11.0,75669.0
France,Master,3.0,48644.0
Germany,Bachelor,11.0,81074.0
United States of America,No College,8.0,200000.0
Canada,Bachelor,2.0,66556.0
United States of America,Bachelor,25.0,120000.0
India,Bachelor,6.0,20940.0
Germany,Bachelor,6.0,86478.0
United States of America,Post Grad,25.0,160000.0
Israel,No College,3.0,45528.0
Turkey,Master,26.0,63120.0
Germany,Master,23.0,58373.0
United States of America,Bachelor,16.0,105000.0
United States of America,Bachelor,7.0,83200.0
United States of America,Bachelor,4.0,81000.0
United States of America,Master,8.0,106000.0
United States of America,Bachelor,7.0,125000.0
Italy,No College,19.0,19458.0
United Kingdom of Great Britain and Northern Ireland,Post Grad,15.0,51704.0
Germany,Bachelor,7.0,60427.0
United States of America,Bachelor,31.0,250000.0
United States of America,Master,15.0,200000.0
Canada,No College,3.0,60505.0
Brazil,Bachelor,3.0,18326.0
Germany,Master,12.0,108098.0
Brazil,Master,13.0,21996.0
United Kingdom of Great Britain and Northern Ireland,Master,6.0,129259.0
United States of America,Post Grad,3.0,93000.0
United States of America,Bachelor,5.0,77250.0
Italy,Master,8.0,64859.0
France,Master,5.0,30916.0
United Kingdom of Great Britain and Northern Ireland,Master,12.0,87638.0
India,Bachelor,3.0,26527.0
United Kingdom of Great Britain and Northern Ireland,No College,4.0,20682.0
United States of America,No College,10.0,129600.0
Germany,No College,20.0,75669.0
United States of America,Bachelor,25.0,116000.0
United States of America,Bachelor,6.0,104000.0
United Kingdom of Great Britain and Northern Ireland,No College,2.0,36193.0
Italy,No College,3.0,16860.0
Spain,No College,0.5,18160.0
France,Master,21.0,68102.0
Germany,No College,5.0,47563.0
United Kingdom of Great Britain and Northern Ireland,Master,10.0,64630.0
Switzerland,Master,2.0,69121.0
United Kingdom of Great Britain and Northern Ireland,Master,4.0,118919.0
India,Bachelor,8.0,57240.0
Turkey,Bachelor,14.0,24972.0
India,Bachelor,10.0,30018.0
France,Master,6.0,44320.0
United States of America,Bachelor,5.0,65000.0
Canada,No College,20.0,60505.0
Netherlands,No College,2.0,88640.0
United States of America,No College,35.0,160000.0
United States of America,Bachelor,2.0,68000.0
United States of America,Bachelor,20.0,144000.0
United States of America,Bachelor,2.0,60000.0
India,Bachelor,2.0,15682.0
Germany,Master,3.0,81074.0
United Kingdom of Great Britain and Northern Ireland,Bachelor,16.0,49119.0
France,Bachelor,10.0,33732.0
United States of America,Bachelor,7.0,66000.0
Israel,Bachelor,3.0,63036.0
Italy,Master,3.0,25944.0
India,Master,7.0,16080.0
United States of America,Bachelor,1.0,90000.0
India,Master,10.0,111694.0
United States of America,Bachelor,1.0,65000.0
United States of America,Bachelor,26.0,150000.0
Germany,Bachelor,3.0,60972.0
India,Bachelor,11.0,23735.0
Germany,Post Grad,6.0,62481.0
Russian Federation,No College,8.0,24540.0
Canada,Bachelor,3.0,31400.0
United States of America,Bachelor,23.0,150000.0
France,Master,18.0,51887.0
India,Bachelor,8.0,29320.0
United States of America,Bachelor,11.0,105000.0
India,Master,9.0,44678.0
United Kingdom of Great Britain and Northern Ireland,Bachelor,12.0,134430.0
Netherlands,Bachelor,17.0,71340.0
Italy,Bachelor,16.0,41077.0
United States of America,No College,3.0,70000.0
Netherlands,Bachelor,12.0,59454.0
Italy,Master,26.0,45401.0
India,Bachelor,6.0,34904.0
United States of America,Master,8.0,150000.0
United Kingdom of Great Britain and Northern Ireland,No College,6.0,47826.0
United Kingdom of Great Britain and Northern Ireland,Bachelor,11.0,64630.0
United States of America,Master,12.0,80000.0
Germany,Post Grad,16.0,84316.0
Netherlands,Bachelor,21.0,81074.0
Italy,Master,9.0,57292.0
Brazil,No College,4.0,16035.0
Germany,Bachelor,5.0,73507.0
Canada,No College,4.0,55967.0
Germany,Master,35.0,54070.0
United States of America,Master,10.0,250000.0
United States of America,No College,10.0,155000.0
Spain,No College,4.0,32429.0
Brazil,Master,12.0,30240.0
Poland,Master,5.0,66828.0
Israel,Bachelor,0.5,98064.0
United Kingdom of Great Britain and Northern Ireland,Bachelor,11.0,118919.0
United States of America,Master,5.0,140000.0
United States of America,Bachelor,5.0,120000.0
United States of America,Post Grad,14.0,130000.0
Spain,No College,9.0,81074.0
United States of America,Master,15.0,115000.0
United Kingdom of Great Britain and Northern Ireland,Master,0.5,38778.0
Israel,Master,8.0,133080.0
United States of America,No College,9.0,150000.0
United States of America,Bachelor,1.0,70000.0
United States of America,Bachelor,10.0,130000.0
France,Master,7.0,52968.0
India,Bachelor,9.0,25128.0
Germany,Master,7.0,85397.0
United States of America,Post Grad,2.0,123000.0
Germany,Master,10.0,97288.0
United States of America,Master,7.0,110000.0
Canada,Master,10.0,90758.0
Germany,Master,12.0,69183.0
Spain,Bachelor,7.0,32429.0
United States of America,Bachelor,9.0,240000.0
United States of America,Bachelor,31.0,82000.0
United States of America,Bachelor,5.0,76000.0
United States of America,Bachelor,42.0,70000.0
Poland,No College,9.0,28860.0
India,Bachelor,1.0,25131.0
Russian Federation,Master,6.0,28308.0
United Kingdom of Great Britain and Northern Ireland,No College,7.0,55582.0
United Kingdom of Great Britain and Northern Ireland,No College,2.0,31020.0
Russian Federation,Master,11.0,43404.0
United States of America,Bachelor,13.0,97000.0
Italy,Master,3.0,25944.0
Poland,Master,7.0,15192.0
India,Master,10.0,25131.0
Germany,Bachelor,20.0,75669.0
Spain,Bachelor,3.0,30267.0
France,Master,4.0,41077.0
Brazil,No College,6.0,26796.0
Canada,Master,6.0,96808.0
Switzerland,No College,4.0,67092.0
United States of America,Bachelor,4.0,76000.0
Australia,Bachelor,1.0,40086.0
United States of America,Bachelor,34.0,112000.0
United States of America,Bachelor,28.0,170000.0
France,Master,2.0,37834.0
United States of America,Bachelor,6.0,60000.0
France,Bachelor,16.0,25428.0
Netherlands,Master,21.0,81074.0
India,Bachelor,4.0,12230.0
United States of America,Bachelor,8.0,150000.0
India,Bachelor,8.0,36300.0
United Kingdom of Great Britain and Northern Ireland,Master,4.0,77556.0
Germany,Master,3.0,40212.0
Italy,No College,22.0,23352.0
United Kingdom of Great Britain and Northern Ireland,No College,11.0,77556.0
Canada,No College,20.0,56723.0
Canada,Post Grad,5.0,75631.0
United States of America,Master,5.0,103000.0
United States of America,Master,6.0,95000.0
United Kingdom of Great Britain and Northern Ireland,Master,2.0,64630.0
Brazil,Bachelor,5.0,82464.0
Germany,Post Grad,2.0,108098.0
Canada,No College,5.0,75631.0
Germany,Bachelor,13.0,84316.0
Netherlands,Master,2.0,60535.0
India,Bachelor,6.0,37000.0
United States of America,Bachelor,12.0,160000.0
Italy,Master,3.0,23782.0
Canada,No College,5.0,86976.0
Germany,Master,20.0,64859.0
India,Bachelor,4.0,33504.0
United Kingdom of Great Britain and Northern Ireland,Bachelor,8.0,193889.0
Germany,No College,6.0,67021.0
United States of America,Bachelor,2.0,86000.0
United States of America,Post Grad,18.0,193052.0
France,Master,5.0,42158.0
Canada,No College,5.0,60505.0
United States of America,Bachelor,4.0,132000.0
Canada,Bachelor,8.0,73741.0
Germany,Bachelor,8.0,62697.0
Brazil,No College,11.0,65976.0
Brazil,Bachelor,2.0,27492.0
Spain,Master,7.0,37834.0
United States of America,Bachelor,16.0,148000.0
United States of America,Bachelor,20.0,135000.0
United Kingdom of Great Britain and Northern Ireland,No College,9.0,51704.0
France,Post Grad,8.0,43239.0
France,Bachelor,4.0,24696.0
United States of America,Bachelor,2.0,179000.0
Israel,Bachelor,15.0,157596.0
Netherlands,Master,8.0,108098.0
Poland,Master,6.0,45564.0
Poland,No College,3.0,24300.0
Italy,Bachelor,13.0,54049.0
Netherlands,No College,2.0,38778.0
United States of America,Master,4.0,130000.0
United States of America,Bachelor,2.0,70000.0
Italy,Master,10.0,54049.0
Germany,Master,24.0,129718.0
India,Master,12.0,23735.0
Germany,Bachelor,4.0,62268.0
United Kingdom of Great Britain and Northern Ireland,Bachelor,10.0,51704.0
United States of America,Bachelor,13.0,135000.0
India,Bachelor,2.0,23735.0
India,Bachelor,2.0,18848.0
France,Master,11.0,99450.0
United States of America,Master,8.0,72000.0
Canada,Bachelor,10.0,56723.0
Germany,No College,5.0,55776.0
Spain,No College,13.0,97288.0
United States of America,Bachelor,9.0,70000.0
United Kingdom of Great Britain and Northern Ireland,Bachelor,10.0,103408.0
United States of America,Bachelor,4.0,140000.0
Canada,No College,10.0,50673.0
Australia,No College,0.5,60132.0
Netherlands,Bachelor,9.0,82155.0
Turkey,Bachelor,1.0,27612.0
United Kingdom of Great Britain and Northern Ireland,Master,5.0,96945.0
Canada,Bachelor,10.0,121010.0
United Kingdom of Great Britain and Northern Ireland,Master,8.0,77556.0
Canada,No College,2.0,24200.0
India,Bachelor,4.0,27923.0
France,Master,1.0,45401.0
Netherlands,Bachelor,11.0,65291.0
United States of America,Bachelor,26.0,204700.0
France,Master,4.0,45401.0
Sweden,Master,0.5,42960.0
United States of America,Bachelor,1.0,61500.0
United Kingdom of Great Britain and Northern Ireland,Master,11.0,64630.0
Canada,Bachelor,5.0,56723.0
Turkey,Bachelor,4.0,25644.0
United Kingdom of Great Britain and Northern Ireland,No College,13.0,155111.0
Spain,Bachelor,11.0,86478.0
Germany,Post Grad,3.0,75669.0
United States of America,Bachelor,22.0,149000.0
United States of America,Bachelor,5.0,150000.0
Spain,No College,13.0,75669.0
United States of America,Post Grad,2.0,83000.0
Russian Federation,Bachelor,5.0,84924.0
France,Bachelor,6.0,56211.0
Israel,Bachelor,2.0,82308.0
Norway,Master,7.0,118685.0
India,Bachelor,10.0,62828.0
Spain,Bachelor,6.0,28536.0
United States of America,Post Grad,6.0,125000.0
United States of America,Bachelor,16.0,130000.0
Israel,Master,15.0,164604.0
United States of America,Bachelor,14.0,165000.0
United Kingdom of Great Britain and Northern Ireland,Master,15.0,81433.0
Russian Federation,Master,15.0,43404.0
Germany,Bachelor,4.0,165000.0
Brazil,Post Grad,4.0,17868.0
United States of America,Master,28.0,180000.0
Poland,No College,7.0,36450.0
Germany,No College,3.0,31908.0
United States of America,No College,4.0,65000.0
France,Master,2.0,54049.0
Germany,Master,7.0,75669.0
United States of America,No College,5.0,150000.0
France,Bachelor,2.0,36753.0
United States of America,Master,2.0,170000.0
Israel,Bachelor,4.0,112068.0
India,Master,13.0,38532.0
India,Bachelor,11.0,41880.0
India,Bachelor,6.0,16754.0
Poland,Master,4.0,47076.0
France,Master,21.0,64859.0
France,Post Grad,15.0,81074.0
France,Master,3.0,48644.0
Turkey,No College,5.0,19728.0
United States of America,Master,8.0,90000.0
Italy,Bachelor,13.0,129718.0
Germany,Master,9.0,94045.0
Italy,Post Grad,10.0,45401.0
United States of America,Bachelor,4.0,91350.0
India,Bachelor,5.0,10052.0
United Kingdom of Great Britain and Northern Ireland,Master,12.0,52116.0
India,No College,8.0,27923.0
Germany,Bachelor,0.5,56211.0
France,Master,12.0,76750.0
United Kingdom of Great Britain and Northern Ireland,Bachelor,5.0,39553.0
United States of America,Master,3.0,130000.0
Canada,Master,46.0,98321.0
United Kingdom of Great Britain and Northern Ireland,Master,5.0,38778.0
France,Master,7.0,54049.0
United States of America,No College,13.0,80000.0
United States of America,No College,6.0,89000.0
United States of America,Bachelor,15.0,95000.0
United States of America,Bachelor,24.0,177000.0
Italy,No College,2.0,18156.0
France,Master,6.0,54049.0
Canada,No College,21.0,60505.0
United States of America,Bachelor,20.0,100000.0
Canada,No College,8.0,60505.0
United States of America,Bachelor,2.0,55000.0
France,Master,0.5,41508.0
United States of America,Bachelor,13.0,156000.0
Germany,No College,23.0,72636.0
United Kingdom of Great Britain and Northern Ireland,Bachelor,9.0,77556.0
Netherlands,Bachelor,5.0,59454.0
Canada,Master,1.0,51429.0
United States of America,No College,3.0,90000.0
France,Master,6.0,43239.0
United States of America,Bachelor,12.0,135000.0
Canada,Bachelor,13.0,52942.0
United Kingdom of Great Britain and Northern Ireland,Post Grad,4.0,116333.0
United States of America,Post Grad,8.0,130000.0
United States of America,Bachelor,20.0,194620.0
United Kingdom of Great Britain and Northern Ireland,Bachelor,20.0,142185.0
